iter	Passed	Remaining
0	6	661
1	12	602
2	16	522
3	18	454
4	21	399
5	22	359
6	24	327
7	26	303
8	27	282
9	29	265
10	30	248
11	32	234
12	33	223
13	34	212
14	35	203
15	36	193
16	38	185
17	39	178
18	40	171
19	41	165
20	42	160
21	43	155
22	45	151
23	46	146
24	47	143
25	48	139
26	50	135
27	51	131
28	52	128
29	53	125
30	54	122
31	56	119
32	57	116
33	58	113
34	59	111
35	61	108
36	62	105
37	63	103
38	64	100
39	65	98
40	66	96
41	67	93
42	68	91
43	70	89
44	71	87
45	72	85
46	73	83
47	74	81
48	76	79
49	77	77
50	78	75
51	79	73
52	80	71
53	82	69
54	82	67
55	84	66
56	85	64
57	86	62
58	87	60
59	88	59
60	90	57
61	91	55
62	92	54
63	93	52
64	94	51
65	96	49
66	97	48
67	98	46
68	99	44
69	101	43
70	102	41
71	103	40
72	104	38
73	105	37
74	107	35
75	108	34
76	109	32
77	110	31
78	112	29
79	113	28
80	114	26
81	115	25
82	116	23
83	117	22
84	119	21
85	120	19
86	121	18
87	122	16
88	124	15
89	125	13
90	126	12
91	128	11
92	129	9
93	130	8
94	131	6
95	133	5
96	134	4
97	135	2
98	136	1
99	137	0
