iter	Passed	Remaining
0	174	174628
1	180	90126
2	189	62859
3	192	48039
4	195	38982
5	199	33060
6	201	28578
7	203	25189
8	204	22552
9	206	20438
10	207	18689
11	209	17227
12	210	15992
13	213	15015
14	215	14161
15	217	13358
16	218	12633
17	219	11987
18	221	11419
19	222	10924
20	225	10513
21	227	10104
22	228	9715
23	230	9355
24	231	9019
25	232	8710
26	234	8439
27	235	8191
28	237	7957
29	240	7787
30	243	7597
31	244	7389
32	245	7193
33	246	7013
34	248	6841
35	250	6715
36	252	6570
37	258	6536
38	260	6407
39	261	6275
40	263	6153
41	266	6070
42	268	5971
43	270	5878
44	272	5776
45	273	5673
46	274	5571
47	275	5473
48	278	5405
49	280	5332
50	282	5252
51	286	5217
52	288	5146
53	291	5100
54	293	5036
55	294	4971
56	296	4901
57	297	4837
58	301	4804
59	302	4746
60	305	4697
61	307	4646
62	309	4607
63	311	4551
64	312	4499
65	316	4479
66	318	4435
67	319	4384
68	321	4334
69	322	4287
70	324	4243
71	325	4197
72	327	4155
73	329	4120
74	331	4085
75	333	4058
76	335	4016
77	337	3984
78	338	3949
79	340	3914
80	341	3877
81	343	3842
82	344	3811
83	347	3793
84	349	3759
85	351	3734
86	353	3705
87	354	3673
88	356	3645
89	357	3615
90	359	3593
91	361	3567
92	362	3537
93	363	3507
94	364	3476
95	367	3457
96	368	3432
97	412	3798
98	415	3780
99	417	3758
100	422	3759
101	426	3755
102	429	3742
103	433	3737
104	436	3718
105	438	3699
106	441	3687
107	447	3693
108	449	3672
109	451	3651
110	454	3639
111	459	3643
112	461	3623
113	463	3599
114	464	3574
115	466	3552
116	467	3527
117	474	3547
118	476	3526
119	478	3505
120	479	3486
121	483	3477
122	489	3493
123	491	3475
124	504	3533
125	507	3519
126	512	3519
127	514	3505
128	516	3490
129	518	3468
130	521	3457
131	523	3440
132	525	3422
133	526	3404
134	530	3400
135	534	3392
136	536	3379
137	538	3362
138	540	3347
139	541	3329
140	546	3327
141	549	3318
142	551	3306
143	553	3290
144	555	3272
145	556	3254
146	558	3238
147	562	3237
148	564	3221
149	565	3204
150	567	3193
151	570	3181
152	571	3164
153	574	3156
154	576	3144
155	578	3129
156	579	3112
157	582	3103
158	583	3088
159	585	3072
160	586	3054
161	587	3040
162	590	3034
163	593	3024
164	595	3011
165	596	2998
166	598	2983
167	599	2968
168	600	2954
169	602	2939
170	604	2931
171	605	2917
172	607	2902
173	609	2893
174	611	2880
175	612	2868
176	614	2855
177	617	2850
178	619	2839
179	620	2828
180	622	2818
181	624	2807
182	626	2794
183	627	2782
184	628	2769
185	631	2762
186	633	2755
187	635	2743
188	638	2738
189	639	2728
190	641	2715
191	642	2704
192	644	2693
193	649	2698
194	651	2687
195	652	2677
196	656	2675
197	657	2665
198	659	2654
199	662	2650
200	664	2641
201	667	2635
202	668	2626
203	670	2615
204	671	2605
205	673	2595
206	674	2584
207	678	2583
208	680	2575
209	682	2565
210	683	2555
211	684	2545
212	686	2535
213	687	2525
214	688	2514
215	692	2512
216	693	2503
217	695	2493
218	696	2485
219	699	2479
220	700	2469
221	702	2460
222	704	2453
223	707	2450
224	709	2442
225	710	2434
226	712	2427
227	714	2419
228	715	2410
229	717	2400
230	721	2402
231	724	2399
232	727	2394
233	728	2385
234	730	2376
235	731	2368
236	734	2364
237	736	2357
238	737	2349
239	739	2341
240	741	2333
241	742	2327
242	745	2322
243	747	2316
244	750	2312
245	752	2305
246	753	2298
247	755	2290
248	756	2281
249	758	2274
250	760	2269
251	762	2263
252	765	2260
253	767	2253
254	768	2246
255	770	2239
256	771	2230
257	773	2223
258	775	2218
259	777	2211
260	780	2209
261	782	2204
262	784	2197
263	785	2189
264	786	2181
265	789	2178
266	790	2171
267	792	2163
268	796	2164
269	798	2158
270	799	2150
271	800	2143
272	802	2135
273	803	2128
274	804	2121
275	806	2114
276	808	2109
277	809	2103
278	811	2097
279	813	2090
280	814	2083
281	815	2077
282	818	2073
283	820	2067
284	822	2063
285	824	2058
286	826	2052
287	827	2045
288	828	2039
289	830	2032
290	832	2028
291	834	2023
292	836	2019
293	839	2015
294	840	2009
295	842	2003
296	843	1996
297	846	1994
298	848	1988
299	849	1982
300	851	1977
301	854	1974
302	856	1969
303	857	1963
304	859	1958
305	861	1953
306	863	1948
307	864	1942
308	867	1939
309	869	1934
310	871	1930
311	872	1925
312	876	1923
313	878	1919
314	880	1913
315	882	1911
316	885	1906
317	886	1901
318	888	1896
319	890	1893
320	892	1887
321	894	1883
322	898	1884
323	901	1880
324	902	1874
325	903	1868
326	905	1864
327	907	1858
328	908	1853
329	910	1848
330	913	1847
331	915	1842
332	917	1838
333	919	1834
334	921	1829
335	923	1824
336	924	1819
337	926	1814
338	928	1811
339	930	1806
340	931	1801
341	934	1797
342	936	1793
343	937	1788
344	939	1783
345	942	1782
346	944	1777
347	946	1772
348	948	1770
349	950	1764
350	951	1759
351	952	1754
352	954	1749
353	958	1748
354	960	1744
355	961	1740
356	963	1735
357	964	1730
358	966	1725
359	967	1720
360	969	1716
361	972	1714
362	975	1711
363	978	1709
364	979	1704
365	981	1699
366	982	1695
367	984	1690
368	986	1686
369	988	1682
370	991	1681
371	993	1677
372	996	1674
373	998	1670
374	999	1665
375	1001	1662
376	1003	1657
377	1005	1654
378	1008	1651
379	1010	1648
380	1012	1644
381	1013	1640
382	1015	1635
383	1017	1631
384	1019	1628
385	1021	1624
386	1029	1630
387	1034	1631
388	1036	1627
389	1037	1622
390	1039	1618
391	1044	1619
392	1046	1615
393	1048	1612
394	1050	1608
395	1051	1604
396	1053	1599
397	1054	1595
398	1057	1592
399	1059	1588
400	1062	1586
401	1064	1583
402	1065	1579
403	1067	1574
404	1069	1571
405	1071	1567
406	1072	1562
407	1074	1558
408	1075	1554
409	1077	1551
410	1080	1548
411	1081	1544
412	1083	1540
413	1084	1535
414	1086	1531
415	1088	1527
416	1090	1524
417	1092	1521
418	1095	1519
419	1097	1515
420	1098	1511
421	1100	1506
422	1101	1502
423	1102	1498
424	1104	1494
425	1106	1490
426	1109	1488
427	1111	1485
428	1113	1481
429	1114	1477
430	1116	1473
431	1117	1469
432	1119	1465
433	1121	1463
434	1124	1460
435	1126	1457
436	1128	1454
437	1130	1450
438	1133	1448
439	1135	1445
440	1137	1441
441	1138	1437
442	1140	1433
443	1141	1429
444	1143	1426
445	1146	1423
446	1149	1421
447	1150	1417
448	1152	1413
449	1153	1409
450	1154	1405
451	1156	1401
452	1157	1397
453	1159	1394
454	1163	1393
455	1165	1390
456	1166	1386
457	1168	1382
458	1169	1378
459	1171	1375
460	1173	1372
461	1178	1372
462	1180	1368
463	1181	1364
464	1183	1361
465	1184	1357
466	1186	1353
467	1187	1350
468	1192	1350
469	1194	1347
470	1196	1343
471	1197	1339
472	1199	1336
473	1200	1332
474	1201	1328
475	1205	1327
476	1208	1325
477	1210	1321
478	1211	1317
479	1212	1314
480	1214	1310
481	1216	1307
482	1217	1303
483	1221	1301
484	1223	1299
485	1225	1296
486	1226	1292
487	1228	1288
488	1230	1285
489	1231	1281
490	1233	1278
491	1236	1277
492	1238	1273
493	1239	1270
494	1241	1266
495	1243	1263
496	1244	1259
497	1245	1255
498	1246	1251
499	1248	1248
500	1250	1245
501	1252	1243
502	1254	1239
503	1255	1235
504	1257	1232
505	1258	1229
506	1260	1225
507	1261	1221
508	1264	1219
509	1267	1217
510	1269	1214
511	1271	1212
512	1273	1208
513	1274	1205
514	1276	1201
515	1280	1201
516	1284	1200
517	1286	1196
518	1287	1193
519	1289	1190
520	1291	1187
521	1295	1186
522	1299	1185
523	1302	1182
524	1303	1179
525	1306	1177
526	1310	1176
527	1313	1173
528	1314	1170
529	1315	1166
530	1317	1163
531	1319	1160
532	1321	1158
533	1325	1156
534	1327	1153
535	1328	1150
536	1329	1146
537	1331	1143
538	1332	1139
539	1334	1137
540	1336	1134
541	1339	1132
542	1341	1129
543	1343	1125
544	1344	1122
545	1345	1118
546	1347	1115
547	1350	1113
548	1351	1110
549	1354	1108
550	1356	1105
551	1358	1102
552	1359	1099
553	1361	1096
554	1362	1092
555	1364	1089
556	1365	1086
557	1367	1083
558	1370	1080
559	1372	1078
560	1373	1074
561	1375	1071
562	1376	1068
563	1378	1065
564	1379	1061
565	1380	1058
566	1383	1056
567	1387	1055
568	1388	1051
569	1390	1048
570	1391	1045
571	1393	1042
572	1394	1039
573	1395	1035
574	1403	1037
575	1406	1035
576	1407	1032
577	1409	1028
578	1410	1025
579	1411	1022
580	1413	1019
581	1415	1016
582	1419	1015
583	1420	1011
584	1422	1008
585	1423	1005
586	1425	1002
587	1426	999
588	1428	997
589	1431	994
590	1432	991
591	1434	988
592	1435	985
593	1437	982
594	1439	979
595	1445	979
596	1446	976
597	1448	973
598	1449	970
599	1451	967
600	1452	964
601	1455	961
602	1458	960
603	1460	957
604	1461	954
605	1462	951
606	1464	948
607	1465	944
608	1467	941
609	1468	938
610	1471	936
611	1473	934
612	1475	931
613	1477	928
614	1478	925
615	1480	922
616	1481	919
617	1483	916
618	1486	914
619	1489	912
620	1490	909
621	1492	907
622	1494	904
623	1495	901
624	1497	898
625	1498	895
626	1503	894
627	1505	891
628	1506	888
629	1508	885
630	1509	882
631	1510	879
632	1511	876
633	1513	873
634	1515	871
635	1517	868
636	1519	866
637	1521	863
638	1522	860
639	1524	857
640	1525	854
641	1527	851
642	1528	848
643	1535	848
644	1536	845
645	1538	842
646	1539	839
647	1541	837
648	1542	834
649	1543	831
650	1548	829
651	1551	828
652	1553	825
653	1555	823
654	1557	820
655	1558	817
656	1561	814
657	1565	813
658	1567	810
659	1568	808
660	1570	805
661	1571	802
662	1573	799
663	1574	796
664	1578	795
665	1581	793
666	1583	790
667	1584	787
668	1586	784
669	1588	782
670	1590	779
671	1593	777
672	1597	776
673	1598	773
674	1600	770
675	1601	767
676	1604	765
677	1606	763
678	1608	760
679	1609	757
680	1611	754
681	1612	751
682	1613	748
683	1615	746
684	1616	743
685	1618	740
686	1621	738
687	1623	736
688	1624	733
689	1625	730
690	1627	727
691	1628	724
692	1629	721
693	1632	719
694	1634	717
695	1636	714
696	1637	711
697	1639	709
698	1640	706
699	1642	703
700	1643	701
701	1645	698
702	1647	696
703	1649	693
704	1651	691
705	1653	688
706	1655	686
707	1659	684
708	1661	681
709	1662	679
710	1664	676
711	1666	674
712	1667	671
713	1669	668
714	1671	666
715	1673	663
716	1675	661
717	1676	658
718	1678	656
719	1680	653
720	1682	651
721	1684	648
722	1685	645
723	1688	643
724	1691	641
725	1692	638
726	1694	636
727	1697	634
728	1699	631
729	1704	630
730	1706	628
731	1709	625
732	1711	623
733	1713	620
734	1715	618
735	1717	616
736	1719	613
737	1720	610
738	1723	608
739	1725	606
740	1727	603
741	1728	601
742	1731	598
743	1733	596
744	1734	593
745	1737	591
746	1738	588
747	1740	586
748	1742	583
749	1745	581
750	1747	579
751	1749	576
752	1751	574
753	1752	571
754	1764	572
755	1769	571
756	1772	569
757	1775	566
758	1777	564
759	1779	561
760	1781	559
761	1783	557
762	1785	554
763	1787	552
764	1790	549
765	1792	547
766	1793	544
767	1795	542
768	1797	539
769	1798	537
770	1799	534
771	1801	532
772	1805	530
773	1808	527
774	1809	525
775	1811	522
776	1813	520
777	1814	517
778	1815	515
779	1817	512
780	1819	510
781	1821	507
782	1822	505
783	1825	502
784	1827	500
785	1829	498
786	1833	496
787	1835	493
788	1837	491
789	1839	489
790	1841	486
791	1842	483
792	1844	481
793	1851	480
794	1853	478
795	1855	475
796	1857	473
